;p_1;sin;sin t³umiony
0;0,007697463;0;0
1;0,3729374;0,279095179;0,280111429
2;0,7554079;0,557245988;0,558706389
3;1,14369;0,833511253;0,834836284
4;1,489587;1,10695618;1,107562843
5;1,798076;1,376655517;1,375961299
6;2,127839;1,641696688;1,639123532
7;2,460168;1,901182877;1,896161139
8;2,80843;2,154236065;2,146208433
9;3,114534;2,4;2,388425357
10;3,41529;2,637643095;2,622000304
11;3,679995;2,86636124;2,846152841
12;3,90764;3,085380526;3,060136311
13;4,163285;3,293959862;3,263240318
14;4,388028;3,49139348;3,454793086
15;4,553882;3,677013327;3,634163677
16;4,694745;3,850191325;3,800764068
17;4,777425;4,010341495;3,954051072
18;4,842172;4,156921938;4,09352811
19;4,877896;4,289436674;4,218746811
20;4,871411;4,407437313;4,329308448
21;4,806596;4,51052458;4,424865202
22;4,691244;4,598349659;4,505121249
23;4,41018;4,670615379;4,569833666
24;4,161129;4,727077214;4,61881315
25;4,028814;4,767544117;4,651924564
26;3,938412;4,79187916;4,669087281
27;3,896458;4,8;4,670275352
28;3,837659;4,79187916;4,655517485
29;3,797384;4,767544117;4,624896831
30;3,757585;4,727077214;4,578550591
31;3,709377;4,670615379;4,516669436
32;3,666631;4,598349659;4,439496741
33;3,622145;4,51052458;4,347327652
34;3,578203;4,407437313;4,240507963
35;3,525197;4,289436674;4,119432834
36;3,471075;4,156921938;3,984545333
37;3,393451;4,010341495;3,836334828
38;3,323815;3,850191325;3,675335211
39;3,235386;3,677013327;3,502122987
40;3,148786;3,49139348;3,317315207
41;3,033586;3,293959862;3,121567279
42;2,905609;3,085380526;2,915570643
43;2,765033;2,86636124;2,700050335
44;2,566486;2,637643095;2,475762434
45;2,272446;2,4;2,243491414
46;1,996085;2,154236065;2,0040474
47;1,821378;1,901182877;1,758263344
48;1,673937;1,641696688;1,506992129
49;1,512275;1,376655517;1,251103609
50;1,346863;1,10695618;0,991481601
51;1,164567;0,833511253;0,729020828
52;0,9649335;0,557245988;0,464623841
53;0,7647352;0,279095179;0,199197913
54;0,5769619;5,88071E-16;-0,066348076
55;0,3918263;-0,279095179;-0,331106747
56;0,1817774;-0,557245988;-0,594175328
57;-0,04575497;-0,833511253;-0,854658725
58;-0,3239612;-1,10695618;-1,111672575
59;-0,5943395;-1,376655517;-1,364346243
60;-0,8662557;-1,641696688;-1,611825775
61;-1,136518;-1,901182877;-1,85327678
62;-1,429991;-2,154236065;-2,087887246
63;-1,637555;-2,4;-2,314870268
64;-1,899652;-2,637643095;-2,533466687
65;-2,198826;-2,86636124;-2,742947629
66;-2,433138;-3,085380526;-2,942616933
67;-2,662981;-3,293959862;-3,131813462
68;-2,883955;-3,49139348;-3,309913291
69;-3,079033;-3,677013327;-3,476331763
70;-3,2823;-3,850191325;-3,630525403
71;-3,464626;-4,010341495;-3,771993688
72;-3,646177;-4,156921938;-3,900280673
73;-3,794734;-4,289436674;-4,01497645
74;-3,916631;-4,407437313;-4,115718451
75;-4,005075;-4,51052458;-4,202192593
76;-4,031296;-4,598349659;-4,27413424
77;-4,027823;-4,670615379;-4,331329009
78;-3,958705;-4,727077214;-4,373613391
79;-3,831296;-4,767544117;-4,400875203
80;-3,649067;-4,79187916;-4,413053858
81;-3,577239;-4,8;-4,410140466
82;-3,55187;-4,79187916;-4,392177748
83;-3,533891;-4,767544117;-4,359259779
84;-3,518291;-4,727077214;-4,311531558
85;-3,500597;-4,670615379;-4,249188397
86;-3,485572;-4,598349659;-4,172475148
87;-3,432741;-4,51052458;-4,081685254
88;-3,391639;-4,407437313;-3,977159642
89;-3,323033;-4,289436674;-3,859285453
90;-3,259203;-4,156921938;-3,728494613
91;-3,166467;-4,010341495;-3,585262265
92;-3,062051;-3,850191325;-3,430105041
93;-2,945561;-3,677013327;-3,263579212
94;-2,806084;-3,49139348;-3,086278689
95;-2,628413;-3,293959862;-2,898832916
96;-2,419435;-3,085380526;-2,701904636
97;-2,213879;-2,86636124;-2,49618755
98;-1,968841;-2,637643095;-2,282403877
99;-1,672191;-2,4;-2,061301817
100;-1,429923;-2,154236065;-1,833652939
101;-1,227986;-1,901182877;-1,600249487
102;-1,031786;-1,641696688;-1,361901622
103;-0,798654;-1,376655517;-1,119434616
104;-0,5651296;-1,10695618;-0,873685987
105;-0,3448921;-0,833511253;-0,625502617
106;-0,1213744;-0,557245988;-0,375737822
107;0,1135754;-0,279095179;-0,125248428
108;0,3522914;-1,17614E-15;0,125108173
109;0,6381969;0,279095179;0,374476957
110;0,9238327;0,557245988;0,622008189
111;1,179266;0,833511253;0,866860316
112;1,426381;1,10695618;1,10820283
113;1,639662;1,376655517;1,345219086
114;1,874305;1,641696688;1,57710906
115;2,135969;1,901182877;1,803092057
116;2,382452;2,154236065;2,02240933
117;2,620937;2,4;2,234326633
118;2,841855;2,637643095;2,438136677
119;3,04317;2,86636124;2,633161487
120;3,248074;3,085380526;2,818754659
121;3,428795;3,293959862;2,994303496
122;3,58476;3,49139348;3,159231034
123;3,726132;3,677013327;3,312997931
124;3,857232;3,850191325;3,455104229
125;3,961393;4,010341495;3,585090974
126;4,066486;4,156921938;3,702541696
127;4,133654;4,289436674;3,807083737
128;4,167608;4,407437313;3,898389421
129;4,145814;4,51052458;3,976177083
130;4,115417;4,598349659;4,040211919
131;4,037971;4,670615379;4,090306686
132;3,904133;4,727077214;4,126322234
133;3,681445;4,767544117;4,148167873
134;3,43779;4,79187916;4,155801571
135;3,314831;4,8;4,149229986
136;3,242089;4,79187916;4,128508334
137;3,190318;4,767544117;4,093740083
138;3,153772;4,727077214;4,045076496
139;3,11829;4,670615379;3,982715996
140;3,10286;4,598349659;3,906903384
141;3,070451;4,51052458;3,817928887
142;3,048822;4,407437313;3,71612707
143;3,010628;4,289436674;3,601875579
144;2,972435;4,156921938;3,475593754
145;2,9365;4,010341495;3,337741096
146;2,891159;3,850191325;3,188815602
147;2,851451;3,677013327;3,029351972
148;2,79358;3,49139348;2,859919689
149;2,7471;3,293959862;2,681120995
150;2,684293;3,085380526;2,493588754
151;2,558399;2,86636124;2,297984206
152;2,369176;2,637643095;2,09499465
153;2,202484;2,4;1,88533102
154;2,001307;2,154236065;1,669725406
155;1,787278;1,901182877;1,448928489
156;1,6489;1,641696688;1,223706938
157;1,526558;1,376655517;0,994840743
158;1,389334;1,10695618;0,763120516
159;1,206957;0,833511253;0,529344757
160;1,08744;0,557245988;0,294317109
161;0,9238169;0,279095179;0,058843589
162;0,7434938;1,76421E-15;-0,17627017
163;0,5542036;-0,279095179;-0,410221683
164;0,3532057;-0,557245988;-0,642214344
165;0,1463599;-0,833511253;-0,871460144
166;-0,03912628;-1,10695618;-1,097182345
167;-0,2185424;-1,376655517;-1,318618113
168;-0,4249204;-1,641696688;-1,535021094
169;-0,6510804;-1,901182877;-1,74566393
170;-0,8572012;-2,154236065;-1,949840706
171;-1,133377;-2,4;-2,146869308
172;-1,383618;-2,637643095;-2,336093707
173;-1,630956;-2,86636124;-2,51688614
174;-1,880265;-3,085380526;-2,688649189
175;-2,10421;-3,293959862;-2,850817756
176;-2,353492;-3,49139348;-3,002860917
177;-2,594717;-3,677013327;-3,144283658
178;-2,821684;-3,850191325;-3,274628482
179;-3,013458;-4,010341495;-3,393476886
180;-3,199691;-4,156921938;-3,500450698
181;-3,356989;-4,289436674;-3,595213273
182;-3,484399;-4,407437313;-3,677470547
183;-3,619802;-4,51052458;-3,74697194
184;-3,714741;-4,598349659;-3,803511104
185;-3,809095;-4,670615379;-3,846926528
186;-3,865233;-4,727077214;-3,877101978
187;-3,858197;-4,767544117;-3,893966785
188;-3,782341;-4,79187916;-3,897495977
189;-3,6062;-4,8;-3,887710251
190;-3,492558;-4,79187916;-3,864675792
191;-3,466357;-4,767544117;-3,828503933
192;-3,453817;-4,727077214;-3,779350667
193;-3,453286;-4,670615379;-3,717416
194;-3,442672;-4,598349659;-3,642943159
195;-3,424132;-4,51052458;-3,556217653
196;-3,390973;-4,407437313;-3,457566194
197;-3,348218;-4,289436674;-3,347355471
198;-3,301677;-4,156921938;-3,225990804
199;-3,246041;-4,010341495;-3,093914653
200;-3,177892;-3,850191325;-2,951605017
201;-3,081342;-3,677013327;-2,799573707
202;-2,961571;-3,49139348;-2,638364512
203;-2,839243;-3,293959862;-2,468551255
204;-2,683721;-3,085380526;-2,290735755
205;-2,520695;-2,86636124;-2,105545699
206;-2,344247;-2,637643095;-1,913632425
207;-2,12394;-2,4;-1,715668637
208;-1,847058;-2,154236065;-1,512346045
209;-1,542428;-1,901182877;-1,304372951
210;-1,29002;-1,641696688;-1,092471785
211;-1,07593;-1,376655517;-0,877376589
212;-0,8843918;-1,10695618;-0,659830484
213;-0,6626679;-0,833511253;-0,440583094
214;-0,4121087;-0,557245988;-0,220387971
215;-0,1924312;-0,279095179;-1,84654E-15
;;;
;;;
sum ;66,64506461;-6,77236E-14;17,65162255
